12,Valli,10000,5,0
13,Florie,10000,5,0
14,Carmela,10000,1,0
15,Margette,10000,3,1
16,Alameda,10000,1,1
17,Brandise,10000,5,0
18,Ninnetta,10000,3,0
19,Glynnis,10000,5,1
21,Briney,10000,2,1
23,Melanie,10000,5,1
24,Kylynn,10000,4,0
25,Abbie,10000,3,1
26,Julieta,10000,4,0
27,Kara-Lynn,10000,4,0
28,Margette,10000,2,1
29,Eugine,10000,3,0
30,Roseline,10000,3,1
31,Ursulina,10000,5,1
32,Sonni,10000,2,0
33,Tamqrah,10000,5,1
34,Flo,10000,1,1
35,Arabel,10000,1,0
36,Deane,10000,5,0
37,Florie,10000,5,1
38,Elise,10000,2,0
39,Raf,10000,4,0
40,Kalina,10000,1,0
41,Penelopa,10000,4,1
42,Di,10000,5,0
43,Etta,10000,5,1
44,Fidelia,10000,5,1
45,Moyna,10000,2,1
46,Jinny,10000,2,0
47,Gloria,10000,2,0
48,Amalie,10000,2,1
49,Ana,10000,4,0
50,Jany,10000,3,0
51,Fawne,10000,2,1
52,Jobi,10000,3,1
53,Steffane,10000,3,0
54,Charlena,10000,2,0
55,Gretal,10000,2,1
56,Emelina,10000,5,0
57,Etta,10000,4,1
58,Gratia,10000,5,0
59,Daryl,10000,1,1
60,Peri,10000,5,0
61,Ashlee,10000,2,0
62,Daryl,10000,2,0
63,Heida,10000,2,1
64,Karena,10000,5,0
65,Gretal,10000,3,0
66,Karlee,10000,2,1
67,Elvira,10000,1,0
68,Deedee,10000,1,1
69,Siana,10000,3,0
70,Brietta,10000,3,1
71,Annabela,10000,3,0
72,Layla,10000,5,0
73,Aili,10000,4,1
74,Carolina,10000,2,0
75,Elvira,10000,3,1
76,Susan,10000,2,1
77,Marguerite,10000,3,0
78,Kial,10000,1,0
79,Kristan,10000,5,0
80,Charmaine,10000,2,0
81,Olivette,10000,4,1
82,Jemie,10000,4,0
83,Raf,10000,1,0
84,Nerta,10000,3,1
85,Winny,10000,3,1
86,Emilia,10000,1,0
87,Winifred,10000,5,1
88,Ardeen,10000,3,1
89,Alyssa,10000,5,1
90,Netty,10000,1,1
91,Emmey,10000,3,1
92,Carolina,10000,3,1
